,id,text,lang,is_retweet
1310960,1261647409878315009,dr hilary said masks are not likely to prevent the covid virus . he's a doctor,en,False
1497519,1261667240006598656,management of covid-19 respiratory distress #covid19 #covidmarathon,en,False
596556,1261533891241709569,wear a damn mask. don't dance with death.,en,False
951178,1261598270620602369,#covid_19 in #tunisia: legal clarifications regarding the « protective #masks affair »,en,False
1502246,1261667740923736068,"not only that but the masks are a breeding ground for bacteria and other diseases , like covid. they'll get through the masks and get into your system.",en,False
122391,1261461345142296577,"do you know if the state plans to fund any of these measures across the board? when i see that chart i see hiring more nurses, transportation to get tested, training for staff, ppe, more teachers/staff if folks get sick(ri already has a huge shortage)",en,False
1300154,1261646230607802368,"i've been saying this for a while now. you have some states arresting people for not wearing masks, that offer no protection. i'd sue.",en,False
1963451,1261718296832901121,"the response to the coronavirus is performative to me. most carriers are asymptomatic, so why check to see if ppl have fevers? why wait until we show symptoms to get tested? why are we wearing loose fitted masks and gloves that touch multiple surfaces???",en,False
956031,1261599105911943169,his wearing a mask has nothing to do with covid...he is just embarrassed that she took him to the wood shed.,en,False
1821792,1261703151222173696,"absolutely! between the amazing insights about psychological quarantine dynamics and the beard, he pretty much makes even the most disciplined follower of coronavirus prevention protocols want to say ""fuck social-distancing and masks!""",en,False
1560395,1261676106400149506,"my tito tested positive for covid-19. he is a respiratory therapist in uae and is in-charge with covid-19 patients. it's true -- you will only 'fully' realize how 'serious' this disease is, if it happened to someone close to you. so, please, please, stay at home.",en,False
1581750,1261678319881289736,stories like that can’t be shared often enough until the last covidiot understood the risk of catching the virus or transmitting it. keep distance and wear a mask!,en,False
528392,1261521496448499712,"it’s ‘covid clean’ night at club tori. mask dress code not enforced as we’ve hit capacity at one person. dj spotify and dj youtube are on a roll. the best of beatking, partyboyz, yung nation, treal lee, & chalie boy.",en,False
643812,1261542584289234944,"betsy devos, trump&pence &republicans are promoting violence in michigan bc their irresponsible corrupted bad example of not waring masks to “support trump”&denying coronavirus.those ignorants nazis bastards unibombers those are evil manipulate by trump.attaking",en,False
2036438,1261726212931674114,"there seems to be anecdotes that high density housing with centralized hvac may be spreading covid-19, so it is not clear-cut that being outside without a mask is worse than staying home",en,False
1974664,1261719511050395650,i can’t wait to buy it! i wonder if you can post a video with make up that won’t transfer onto my mask. going back to work in june & will have to wear a mask all day due covid. #covidsurvivor #covidmakeuptips,en,False
1036484,1261612358012514306,"nigerian fashion designer sefiya diejomaoh likes to wear bright, bold clothes to match her personality. she believes a global pandemic should not get in the way of her sense of style #nigeria #corona #coronavirus #covid19",en,False
1551452,1261675189995294720,"3 days after this conference call, i started showing symptoms of a severe respiratory infection, and was subsequently unable to get tested for covid because i “didn’t have contact w/ a confirmed case that i could identify” (despite the fact that i deal entirely with international",en,False
648177,1261543406695743489,"two of my friends died from covid. they got sick in march before masks & social distancing were advised. if the country goes back to life like that, thousands more will die. a common sense, science based approach to opening is necessary unless you want your friends to die too.",en,False
2075833,1261730604162387971,people think they don't need to use masks or social distance.,en,False
1297406,1261645920636145665,"as #nato allies are increasingly reporting #cyberattacks against critical infrastructure during the #covid pandemic, it is now more critical than ever for nato to become more assertive. needs flexible deterrence options in the #cyber domain! #wearenato #strongertogether",en,False
1495348,1261667012968960001,"#leadership #digitaltransformation #covid19 #coronavirus #meaningfulgrowth #geniouxmg dear professor erin bromage ), your work is very brilliant. chapeau! i would love for you to answer key questions: what could have been the difference if people had worn masks?",en,False
1211868,1261636170892611585,i’m wearing my judge jersey today and it’s weird cause we should be in houston kicking ass but nope... thanks covid. fucking thanks.,en,False
281872,1261485526336626688,"as the weather warms up, is it safe to go outside? yes, but keep your distance and have a mask handy, experts say.",en,False
2516310,1261785600505643008,where are the masks for the police,en,False
1098222,1261621473787207680,just mask on.after all we import id rather not loose ma precious sleep than waiting fr aceng to anounce another 30 wen lokdown days r getin less,en,False
1655707,1261685983499530241,"if you refuse to wear a mask, and this includes trump, stfu about the economy. you are the ones destroying it.",en,False
2212995,1261746315240841218,"so this is the idiot i've been hearing about the last three days. since you're that scared of covid, mask up, go home to mommy and crawl under your bed or curl up in a closet. people are struggling to stay solvent and you want to cry about half pay at about 3.5 mil. stfu! ...",en,False
1713992,1261691951461662722,only gullible idiots wear those stupid masks. they accomplish nothing other than to spread democrat propaganda. #covid19 #covid #faucifraud #fauci,en,False
2267256,1261752615941083137,#research alharamain to avoid being infected with coronavirus: 1- limit direct contact with others 2- always keep a 2 meters distance when interacting with others. 3- wearing masks 4- wash hands and use sanitation,en,False
821928,1261573756444717056,please for the love of everything good wear your mask correctly people staying home can get covid-19: safety tips for running errands,en,False
2363217,1261764176046886913,be there in point pleasant to stand for our freedom! #opennj without restrictions. the time is now. big businesses are no better than small. masks hold germs and cannot stop this tiny virus particle. wake up nj! #whatarewedoing,en,False
2384363,1261766771507449858,"when lots more people start dying after #lockdown is eased, maybe then people in charge will listen to reason and stop playing games with other people's lives? #covid19 #coronavirus #lockdown #secondwave #pandemic #influenza #socialdistancing #quarantine #mask #ppe",en,False
682797,1261549800123707392,can someone show me in the constitution where your right not to wear a mask is? i can't find it. #maskitorcasket #coronavirus #fridaynight,en,False
2464535,1261778998788411392,"you can't have it both ways: anti-coronavirus masks may thwart our creepy face-recog cameras, london cops admit via",en,False
1924306,1261714043984805890,bottom line with out clear & proper clinical trials unknown or unproven treatments will get people killed. every doctor on the planet knows this & swears it before the hippocratic oath.,en,False
730861,1261558018828718082,something undercover is happening. do not fear. its not mandatory. he just said this at a news briefing. fauci's face was covered with a mask but i am sure he choked. lol,en,False
9599,1261447413773942784,"caribbean nations can’t get u.s. masks, ventilators for covid-19 under trump policy",en,False
747285,1261560840806940672,"#rt: ""they see it more as a soft opening."" mickey, minnie and masks: reports from shanghai disneyland's first day opening after being shut for months on #coronavirus concerns. more in: #上海...",en,False
403905,1261502033804365827,what does wearing a mask prevent? not covid lol,en,False
1224000,1261637606669983744,"that’s because it’s a blood disease that causes respiratory problems, hence why ventilator usage is lower than thought. it caused blood clots in the lungs hence why breathing is a problem it also causes viral pneumonia as well, so it’s a nasty virus not at all like flu. so avoid!",en,False
2421604,1261773670021599232,"yes. it's true. you can now get a ppe version of devo's energy dome! you'd be the coolest kid in school, that's for sure! would you wear this iconic ""hat"" and face shield? beth",en,False
2128542,1261736583243284480,arrest hobos/none r wearing masks/roaming our streets/ test them carriers of 19/if gunsmoke days/they came near me/id punch their ticket/now ihave to hold my anger/i tellim its mandatory now brau/golden arm star trek,en,False
1117282,1261624165368545281,"month of #quarantanuary. day 61 american hostage crisis. total 81,729 deaths (pop. 0.025%) this year, mostly elderly & infirm died, purportedly 'with covid-19' many just presumed. population filed for unemployment 11% . #masksarehideous and so are stay at home orders.",en,False
434611,1261506621219495936,"your dear leader ignored covid; lied about it; blamed others; lied some more; promised fake cures; sent ppe to other countries; and is generally an incompetent, dishonest fvck up.... so don’t even start w your fake concern. #trumpcoronavirustestfailure",en,False
2484393,1261781473537003520,those who don’t care or believe in #covid refusing to wear mask and socially distance is your choice. you should forfeit your health care coverage and life insurance enjoy your 1st amendment. the rest of us shouldn’t have to pay higher premiums to support your position. #cnn,en,False
424121,1261505003908456449,"reuters used to be a reliable source of information but now is just spreading fear. every year in china die 88,100 people from respiratory viruses (241 a day). how significant are 8 cases of covid-19 compared with 241 people dead for all viral infections?",en,False
