,id,text,lang,is_retweet,user.description
1310960,1261647409878315009,dr hilary said masks are not likely to prevent the covid virus . he's a doctor,en,False,human
1497519,1261667240006598656,management of covid-19 respiratory distress #covid19 #covidmarathon,en,False,consultant icm/anaesthesia @kingscritcare chair of @esicm editorial and publishing committee editor @wicsbottomline phd candidate at @phd_vub views my own.
596556,1261533891241709569,wear a damn mask. don't dance with death.,en,False,"artist. photographer. constant reader. watcher of movies. traveler on this road called life. feet on the ground, eyes looking up at the stars."
951178,1261598270620602369,#covid_19 in #tunisia: legal clarifications regarding the « protective #masks affair »,en,False,"award-winning citizen media website specialized in topical news focusing on democracy, transparency, accountability, justice, civil liberties & rights"
1502246,1261667740923736068,"not only that but the masks are a breeding ground for bacteria and other diseases , like covid. they'll get through the masks and get into your system.",en,False,government is the enemy. jesus christ is the only king i bow to. gun grabbers are nazis. #2ndamendmentabsolutist #nativepride #cherokee 3d printer go brrrrrr
122391,1261461345142296577,"do you know if the state plans to fund any of these measures across the board? when i see that chart i see hiring more nurses, transportation to get tested, training for staff, ppe, more teachers/staff if folks get sick(ri already has a huge shortage)",en,False,central falls advocate. providence college associate director! as a #cfwarrior #1stgencriola #georgetownalum #gwugrad #δσθ closing the inequality gap
1300154,1261646230607802368,"i've been saying this for a while now. you have some states arresting people for not wearing masks, that offer no protection. i'd sue.",en,False,i am the traditional american male. i love everything outdoors and the female form. never trust anyone who doesn't like dogs.
1963451,1261718296832901121,"the response to the coronavirus is performative to me. most carriers are asymptomatic, so why check to see if ppl have fevers? why wait until we show symptoms to get tested? why are we wearing loose fitted masks and gloves that touch multiple surfaces???",en,False,open to everything and attached to nothing. brandonguerra279@gmail.com
956031,1261599105911943169,his wearing a mask has nothing to do with covid...he is just embarrassed that she took him to the wood shed.,en,False,
1821792,1261703151222173696,"absolutely! between the amazing insights about psychological quarantine dynamics and the beard, he pretty much makes even the most disciplined follower of coronavirus prevention protocols want to say ""fuck social-distancing and masks!""",en,False,life isn't about waiting for the storm to pass. it's about learning to dance in the wind & rain... while also building strong shelters & boats!
1560395,1261676106400149506,"my tito tested positive for covid-19. he is a respiratory therapist in uae and is in-charge with covid-19 patients. it's true -- you will only 'fully' realize how 'serious' this disease is, if it happened to someone close to you. so, please, please, stay at home.",en,False,magiging dentista para sa bayan upcd2021
1581750,1261678319881289736,stories like that can’t be shared often enough until the last covidiot understood the risk of catching the virus or transmitting it. keep distance and wear a mask!,en,False,we don't meet people by accident. they are meant to cross our path for a reason. i just wish to know the reason
528392,1261521496448499712,"it’s ‘covid clean’ night at club tori. mask dress code not enforced as we’ve hit capacity at one person. dj spotify and dj youtube are on a roll. the best of beatking, partyboyz, yung nation, treal lee, & chalie boy.",en,False,"“i’m loyal, babe!” dallas native @pepperdine @graziadioschool mba ‘20"
643812,1261542584289234944,"betsy devos, trump&pence &republicans are promoting violence in michigan bc their irresponsible corrupted bad example of not waring masks to “support trump”&denying coronavirus.those ignorants nazis bastards unibombers those are evil manipulate by trump.attaking",en,False,
