id,text
1261647409878315009, Dr hilary  said masks are not likely to prevent the  covid virus  . He's a doctor
1261533891241709569,Wear a damn mask. Don't dance with death.
1261598270620602369,#Covid_19 in #Tunisia: Legal clarifications regarding the « protective #masks affair » 
1261667740923736068," Not only that but the masks are a breeding ground for bacteria and other diseases , like covid.  They'll get through the masks and get into your system."
1261646230607802368,"I've been saying this for a while now. You have some states arresting people for not wearing masks, that offer no protection. I'd sue. "
1261718296832901121,"The response to the coronavirus is performative to me. Most carriers are asymptomatic, so why check to see if ppl have  fevers? Why wait until we show symptoms to get tested? Why are we wearing loose fitted masks and gloves that touch multiple surfaces???"
1261599105911943169, His wearing a mask has nothing to do with COVID...he is just embarrassed that she took him to the wood shed.
1261703151222173696," Absolutely! Between the amazing insights about psychological quarantine dynamics and the beard, he pretty much makes even the most disciplined follower of Coronavirus prevention protocols want to say ""FUCK social-distancing and masks!"""
1261678319881289736,Stories like that can’t be shared often enough until the last Covidiot understood the risk of catching the virus or transmitting it. Keep distance and wear a mask!
1261726212931674114," There seems to be anecdotes that high density housing with centralized HVAC may be spreading COVID-19, so it is not clear-cut that being outside without a mask is worse than staying home"
1261719511050395650, I can’t wait to buy it! I wonder if you can post a video with make up that won’t transfer onto my mask. Going back to work in June & will have to wear a mask all day due Covid. #covidsurvivor #covidmakeuptips
1261543406695743489," Two of my friends died from Covid.  They got sick in March before masks & social distancing were advised.  If the country goes back to life like that, thousands more will die.  A common sense, science based approach to opening is necessary unless you want your friends to die too."
1261730604162387971,People think they don't need to use masks or social distance.
1261667012968960001,"#leadership #DigitalTransformation #COVID19 #coronavirus  #MeaningfulGrowth #GeniouxMG Dear professor Erin Bromage ),  Your work is very brilliant. Chapeau! I would love for you to answer key questions: What could have been the difference if people had worn masks?"
1261485526336626688,"As the weather warms up, is it safe to go outside? Yes, but keep your distance and have a mask handy, experts say.  "
1261785600505643008,Where are the masks for the police
1261621473787207680, Just mask on.after all we import  id rather not loose ma precious sleep than waiting fr aceng to anounce another 30 wen lokdown days r getin less
1261685983499530241,"If you refuse to wear a mask, and this includes Trump, STFU about the economy. You are the ones destroying it.  "
1261746315240841218," So this is the IDIOT I've been hearing about the last three days. Since you're that scared of covid, mask up, go home to mommy and crawl under your bed or curl up in a closet. People are struggling to stay solvent and you want to cry about half pay at about $3.5 mil. STFU! ..."
